msme_id,business_name,pan,gstin,sector,city,state,years_in_business,persona
MSME041,Zachariah Ltd,WQWYY3351B,079VFRUK94IW1ZA,Agri-Input,Tiruppur,Delhi,14,random
MSME042,"Trivedi, Rege and Dey",KMUXH5339Q,33SRCVPUZ11B1ZR,Logistics,Tirunelveli,Tamil Nadu,14,random
MSME043,Lal-Samra,JUPWT4565X,08ZJAHSAO2QW1ZS,Services,Naihati,Rajasthan,3,random
MSME044,"Nigam, Kala and Butala",NVNNM6730F,2454AI2278EQ1ZH,Manufacturing,Bhusawal,Gujarat,4,random
MSME045,Ray Ltd,ACQAH1177G,075DSIUAZ71U1ZK,Logistics,Gorakhpur,Delhi,13,random
MSME046,Raman-Sundaram,WDSUU0744Z,29YC4I6H1M3J1ZU,Retail,Lucknow,Karnataka,12,random
MSME047,"Nori, Desai and Samra",FGYYI7139D,279U7C1A7YJ81ZM,Textiles,Dhanbad,Maharashtra,13,random
MSME048,"Karan, Gera and Srinivas",JXVMV5248B,292DNODKD3HH1ZL,Logistics,Hyderabad,Karnataka,10,random
MSME049,"Maharaj, Deshpande and Sandal",FPFAK4250D,24XG770XDHJ51Z6,Retail,Kirari Suleman Nagar,Gujarat,16,random
MSME050,Pall Ltd,OLNLA1820P,27876KE1Q5MS1ZO,Retail,Thiruvananthapuram,Maharashtra,14,random
MSME051,"Narula, Savant and Kuruvilla",PWJYX9217Z,2719ARSOZ9E51ZL,Retail,Kalyan-Dombivli,Maharashtra,17,random
MSME052,Sheth Ltd,PVEAZ5098L,27U6AVE7E51M1Z7,Pharma,Ghaziabad,Maharashtra,13,random
MSME053,"Nanda, Wadhwa and Dhaliwal",DKHLG5665Y,07N4FLHW3CHN1ZQ,Pharma,Jabalpur,Delhi,15,random
MSME054,Chokshi PLC,JGGYY0607L,24HMIE8989GN1ZD,Food Processing,Raiganj,Gujarat,10,random
MSME055,Lanka Group,RAYSZ5453U,27USHFRRCV1E1ZY,Textiles,Anantapuram,Maharashtra,2,random
MSME056,"Ravel, Kota and Kohli",DDKZF8222O,07MQM57FHSF21ZA,Textiles,Nashik,Delhi,11,random
MSME057,"Chawla, Tak and Nigam",CWLVK6926D,27LCKWT2E0771ZH,Services,Bidar,Maharashtra,2,random
MSME058,Andra Inc,HZDPB4695M,33QOXBE1P5EI1ZS,Manufacturing,Surendranagar Dudhrej,Tamil Nadu,4,random
MSME059,Singh PLC,TDLFJ7423Z,29L5KZHCMZ2R1ZY,Retail,Malda,Karnataka,16,random
MSME060,Joshi Group,VJOCA1519R,29D7QCQ3ZA8E1ZW,Agri-Input,Bongaigaon,Karnataka,15,random
MSME061,"Garde, Virk and Jain",NEICR8614A,07Z298L4JM8C1Z0,Agri-Input,Nashik,Delhi,14,random
MSME062,Majumdar-Munshi,FOXMR3184Q,07OJAXNHRC4H1ZV,Retail,Raiganj,Delhi,14,random
MSME063,Choudhry and Sons,GVQRS5119A,077QFQ9N04FD1Z8,Pharma,Eluru,Delhi,9,random
MSME064,Dhar-Dave,WCJNP0049F,07JOQYNIT38C1ZT,Agri-Input,Pallavaram,Delhi,11,random
MSME065,"Bumb, Bhandari and Raval",ZWRET9151N,24PN3VWTKCNL1Z5,Services,Fatehpur,Gujarat,7,random
MSME066,Kanda Group,DPIRT4345H,27WVAHBEF2IB1ZX,Food Processing,Maheshtala,Maharashtra,15,random
MSME067,"Ratti, Dhaliwal and Tank",DKWHD7923E,332J6SB053AK1ZN,Food Processing,Hyderabad,Tamil Nadu,11,random
MSME068,Uppal-Biswas,TMBPI6535T,27WQRLVC35TY1Z2,Food Processing,Gorakhpur,Maharashtra,15,random
MSME069,Chaudhary Group,QHKHA1280J,2408T6RWARQC1ZJ,Manufacturing,Nagaon,Gujarat,17,random
MSME070,Baral-Jani,FXTKY1141O,29HUY7EW1TMI1ZS,Logistics,Pune,Karnataka,13,random
MSME071,Vaidya Ltd,CWRHV0859N,080QOEXOANAA1ZC,Pharma,Panipat,Rajasthan,11,random
MSME072,"Tella, Batta and Ghose",UECSI5407B,08QR8ZMMXX1C1ZB,Manufacturing,Chapra,Rajasthan,4,random
MSME073,"Palla, Krishna and Khanna",JYLUZ1548O,2452XOVYXHZP1ZG,Retail,Sonipat,Gujarat,14,random
MSME074,Lanka-Baria,TJASK4485P,24VWKFU90FPI1Z0,Pharma,Serampore,Gujarat,13,random
MSME075,Bhatia-Sandhu,TGCTA2196M,07HPN9FDLR8Z1ZK,Textiles,Purnia,Delhi,17,random
